keyword,revenue
3d,38809982107
aftercreditsstinger,36470965467
airplane,7179816379
alien,14961621449
animation,9598009652
based on comic book,21464756515
based on novel,27734305097
based on young adult novel,8860386492
battle,8957784098
best friend,6070747147
biography,6024182626
cia,6767291384
conspiracy,6849002973
daughter,7893250377
dc comics,7487253621
dinosaur,6592903080
duringcreditsstinger,56599323317
dying and death,9145917294
dystopia,21247886153
elves,6563021456
escape,7618316617
explosion,7800309440
family,6370856233
father son relationship,7285312013
friendship,11103054783
future,8955957937
hero,6564408660
imax,13753074804
island,6709871490
london england,6677346734
los angeles,6952087480
love,8219227866
love of one's life,5903497336
magic,14644187037
martial arts,6666937547
marvel cinematic universe,10138400680
marvel comic,19447081252
mission,8114736100
monster,6367391710
murder,8711969762
musical,8044294094
new york,6669591364
orcs,6285745282
rescue,6960826784
revenge,12461787543
robot,5939511790
saving the world,11620970883
scientist,6031595514
secret agent,6985889153
secret identity,9113167072
sequel,25701568841
ship,8155156146
soldier,6174182166
space,8271104044
space opera,6641864407
spy,7655396969
super powers,7639309648
superhero,26397726438
suspense,7992283099
terrorist,7003983512
time travel,6563737751
undercover,7476738483
violence,14620580103
war,6853395739
witch,9082091133
woman director,15004022811
